msa,year,value
"Sherbrooke, Quebec",2010,7.4
"Sherbrooke, Quebec",2011,6.7
"Sherbrooke, Quebec",2012,8.0
"Sherbrooke, Quebec",2013,7.1
"Sherbrooke, Quebec",2014,7.2
"Sherbrooke, Quebec",2015,6.8
"Sherbrooke, Quebec",2016,6.2
"Sherbrooke, Quebec",2017,5.6
"Sherbrooke, Quebec",2018,5.0
"Sherbrooke, Quebec",2019,4.4
"Sherbrooke, Quebec",2020,7.7
"St. Catharines-Niagara, Ontario",2001,6.3
"St. Catharines-Niagara, Ontario",2002,7.4
"St. Catharines-Niagara, Ontario",2003,6.8
"St. Catharines-Niagara, Ontario",2004,7.4
"St. Catharines-Niagara, Ontario",2005,7.1
"St. Catharines-Niagara, Ontario",2006,6.4
"St. Catharines-Niagara, Ontario",2007,6.8
"St. Catharines-Niagara, Ontario",2008,7.3
"St. Catharines-Niagara, Ontario",2009,10.4
"St. Catharines-Niagara, Ontario",2010,9.6
"St. Catharines-Niagara, Ontario",2011,8.2
"St. Catharines-Niagara, Ontario",2012,8.0
"St. Catharines-Niagara, Ontario",2013,8.6
"St. Catharines-Niagara, Ontario",2014,7.7
"St. Catharines-Niagara, Ontario",2015,7.0
"St. Catharines-Niagara, Ontario",2016,7.1
"St. Catharines-Niagara, Ontario",2017,6.5
"St. Catharines-Niagara, Ontario",2018,6.6
"St. Catharines-Niagara, Ontario",2019,5.8
"St. Catharines-Niagara, Ontario",2020,9.6
"St. John's, Newfoundland and Labrador",2001,9.2
"St. John's, Newfoundland and Labrador",2002,9.2
"St. John's, Newfoundland and Labrador",2003,9.8
"St. John's, Newfoundland and Labrador",2004,8.9
"St. John's, Newfoundland and Labrador",2005,8.9
"St. John's, Newfoundland and Labrador",2006,8.1
"St. John's, Newfoundland and Labrador",2007,6.9
"St. John's, Newfoundland and Labrador",2008,7.9
"St. John's, Newfoundland and Labrador",2009,8.3
"St. John's, Newfoundland and Labrador",2010,8.1
"St. John's, Newfoundland and Labrador",2011,6.7
"St. John's, Newfoundland and Labrador",2012,7.4
"St. John's, Newfoundland and Labrador",2013,6.3
"St. John's, Newfoundland and Labrador",2014,6.0
"St. John's, Newfoundland and Labrador",2015,6.5
"St. John's, Newfoundland and Labrador",2016,7.8
"St. John's, Newfoundland and Labrador",2017,8.4
"St. John's, Newfoundland and Labrador",2018,8.4
"St. John's, Newfoundland and Labrador",2019,7.5
"St. John's, Newfoundland and Labrador",2020,9.6
"Thunder Bay, Ontario",2001,8.0
"Thunder Bay, Ontario",2002,6.5
"Thunder Bay, Ontario",2003,5.9
"Thunder Bay, Ontario",2004,8.1
"Thunder Bay, Ontario",2005,7.1
"Thunder Bay, Ontario",2006,7.6
"Thunder Bay, Ontario",2007,6.7
"Thunder Bay, Ontario",2008,5.9
"Thunder Bay, Ontario",2009,8.3
"Thunder Bay, Ontario",2010,6.8
"Thunder Bay, Ontario",2011,6.8
"Thunder Bay, Ontario",2012,5.5
"Thunder Bay, Ontario",2013,6.1
"Thunder Bay, Ontario",2014,5.2
"Thunder Bay, Ontario",2015,5.2
"Thunder Bay, Ontario",2016,6.8
"Thunder Bay, Ontario",2017,5.7
"Thunder Bay, Ontario",2018,5.1
"Thunder Bay, Ontario",2019,5.5
"Thunder Bay, Ontario",2020,8.3
"Toronto, Ontario",2001,6.3
"Toronto, Ontario",2002,7.4
"Toronto, Ontario",2003,7.7
"Toronto, Ontario",2004,7.5
"Toronto, Ontario",2005,7.0
"Toronto, Ontario",2006,6.6
"Toronto, Ontario",2007,6.8
"Toronto, Ontario",2008,6.9
"Toronto, Ontario",2009,9.6
"Toronto, Ontario",2010,9.1
"Toronto, Ontario",2011,8.4
"Toronto, Ontario",2012,8.7
"Toronto, Ontario",2013,8.1
"Toronto, Ontario",2014,8.0
"Toronto, Ontario",2015,7.0
"Toronto, Ontario",2016,7.0
"Toronto, Ontario",2017,6.4
"Toronto, Ontario",2018,6.0
"Toronto, Ontario",2019,6.0
"Toronto, Ontario",2020,10.8
"Trois-Rivières, Quebec",2001,9.9
"Trois-Rivières, Quebec",2002,10.2
"Trois-Rivières, Quebec",2003,10.4
"Trois-Rivières, Quebec",2004,10.8
"Trois-Rivières, Quebec",2005,9.1
"Trois-Rivières, Quebec",2006,8.1
"Trois-Rivières, Quebec",2007,7.9
"Trois-Rivières, Quebec",2008,8.3
"Trois-Rivières, Quebec",2009,9.0
"Trois-Rivières, Quebec",2010,9.1
"Trois-Rivières, Quebec",2011,9.0
"Trois-Rivières, Quebec",2012,7.8
"Trois-Rivières, Quebec",2013,8.3
"Trois-Rivières, Quebec",2014,7.3
"Trois-Rivières, Quebec",2015,6.6
"Trois-Rivières, Quebec",2016,7.0
"Trois-Rivières, Quebec",2017,5.6
"Trois-Rivières, Quebec",2018,5.0
"Trois-Rivières, Quebec",2019,5.5
"Trois-Rivières, Quebec",2020,7.8
"Vancouver, British Columbia",2001,6.6
"Vancouver, British Columbia",2002,7.8
"Vancouver, British Columbia",2003,7.2
"Vancouver, British Columbia",2004,6.8
"Vancouver, British Columbia",2005,5.7
"Vancouver, British Columbia",2006,4.4
"Vancouver, British Columbia",2007,4.0
